record_id,source_system,customer_id,customer_name,customer_email,order_id,source_system_clean,customer_name_clean,clean_age,gender_clean,country_clean,product_category_clean,quantity_clean,unit_price_clean,discount_clean,shipping_cost_clean,item_weight_clean,payment_method_clean,order_status_clean,returned_flag_clean,satisfaction_score_clean,loyalty_points_clean,site_visits_last30_clean,support_tickets_90d_clean,distance_to_warehouse_km_clean,customer_segment_clean,order_date_clean,delivery_date_clean,delivery_duration_clean,customer_timezone,ingestion_batch,data_source_note
GM-00135,Mobile App,CUST-000429,MarÃ­a Santos,mara.santos385@company.com,ORD-4OHL5THL,Mobile App,María Santos,39.0,Non-Binary,Australia,Fashion & Apparel,2.0,288.01,23.3,7.0,,Debit Card,Completed,0,5.0,698,500,0,1263.0,Occasional,2026-02-19,2026-03-02,11,America/New_York,batch_B_latin1,"Merged from checkout, CRM, and support extracts."
GM-00347,WEB,CUST-001323,Mateo NÃºÃ±ez,mateo.nez140@example..com,ORD-9APGI32O,Web,Mateo Núñez,38.0,,Germany,Fashion & Apparel,1.0,376.2,17.0,9.45,1.923,Unknown Card,Completed,0,1.0,450,,3,1502.33,At Risk,2025-08-15,2025-09-04,20,UTC+8,batch_B_latin1,Currency conversion not yet standardized.
GM-01214,Web ,CUST-000818,Maria Davis,maria.davis@companycom,ORD-AH4THJF1,Web,Maria Davis,20.0,Male,,Electronics,2.0,872.6,,0.23,5.78,Debit Card,Completed,0,,976,10,3,8.7,VIP,2025-06-25,,,UTC+8,api_stream_v2,Currency conversion not yet standardized.
GM-00794,in-store,CUST-000179,Chloé Kim,chlo.kim@companycom,ORD-GKXXNTI5,In-Store,Chloé Kim,67.0,Non-Binary,France,Electronics,3.0,455.64,,2.28,6.722,PayPal,Shipped,0,2.0,331,19,1,1288.92,Loyal,2026-03-01,2026-03-05,4,PST,batch_B_latin1,Dates came from mixed regional settings.
GM-00338,Market Place,CUST-000281,Sofia García,sofia.garca421@gmail.com,ORD-7JJHNBT3,Marketplace,Sofia García,29.0,Male,France,Home & Kitchen,1.0,77.23,13.5,10.99,0.562,PayPal,Shipped,0,4.0,527,11,1,1215.43,New,2025-05-19,,,,batch_B_latin1,
GM-00574,mobile,,Juan Brown,juan.brown460@company.com,ORD-Y0MPOGKT,Mobile App,Juan Brown,150.0,Male,Singapore,Health & Beauty,1.0,40.77,5.7,33.31,5.94,Cash on Delivery,Shipped,0,3.0,429,10,0,43.63,At Risk,,,,PST,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00553,mobile,,Aiko Müller,aiko.mller460@company.com,ORD-TB7RSFAJ,Mobile App,Aiko Müller,32.0,,Japan,Fashion & Apparel,1.0,12202.38,17.1,2196.54,4.716,Bank Transfer,Pending,0,1.0,411,6,0,,,2025-04-03,2025-04-16,13,PST,batch_A_utf8,Duplicate order records possible due to API retry.
GM-01241,Call Center,CUST-000286,SITI DUBOIS,siti.dubois675@example..com,ORD-YG1P0PYO,Call Center,SITI DUBOIS,,Non-Binary,Australia,Books & Media,3.0,103.37,31.1,4.85,6.711,,Shipped,0,1.0,383,9,,86.99,Occasional,2024-11-21,,,AEST,batch_A_utf8,Dates came from mixed regional settings.
GM-01654,call centre,CUST-001261,Zoë Wong,zo.wong229@hotmail.com,ORD-FAF85QVX,Call Center,Zoë Wong,-1.0,Non-Binary,Canada,Electronics,1.0,853.34,41.0,22.02,2.98009944,Bank Transfer,Failed,0,4.0,919,21,0,423.08,New,2025-04-26,2025-05-03,7,PHT,legacy_excel_export,Legacy export may contain mojibake in names/cities.
GM-01653,mobile,CUST-001310,Yuki Mendoza,yuki.mendoza958@gmail.com,ORD-5QPHMJBN,Mobile App,Yuki Mendoza,37.0,,Australia,Fashion & Apparel,2.0,189.21,0.09,25.95,3.402,PayPal,Completed,0,5.0,801,5,0,458.77,VIP,2025-08-28,,,JST,batch_B_latin1,Currency conversion not yet standardized.
GM-01124,web,CUST-000194,Amina Cruz,amina.cruz593@hotmail.com,ORD-SW91ATN1,Web,Amina Cruz,,Male,Australia,Health & Beauty,,118.5,5.6,,6.853,,Completed,0,3.0,319,8,1,214.27,VIP,2026-02-10,2026-03-01,19,America/New_York,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01224,APP,CUST-001115,Zoë García,zo.garca at hotmail.com,ORD-AXC19O0Z,Mobile App,Zoë García,37.0,Female,Germany,Books & Media,3.0,50.76,5.5,28.25,5.38,Debit Card,Failed,0,3.0,599,6,0,1387.16,,2025-11-08,,,America/New_York,legacy_excel_export,Some returns are recorded only in support tickets.
GM-01121,marketplace,CUST-001074,Müller Santos,mller.santos514@hotmail.com,ORD-HBCLKQ8K,Marketplace,Müller Santos,19.0,Prefer not to say,Brazil,Sports & Fitness,2.0,1374.23,13.0,152.38,7.951467760000001,Bank Transfer,Cancelled,0,1.0,321,16,0,499.15,Occasional,2024-06-09,2024-06-20,11,PST,batch_C_windows1252,Legacy export may contain mojibake in names/cities.
GM-00889,Market Place,CUST-000655,Søren Mendoza,sren.mendoza887@hotmail.com,ORD-L577MBSM,Marketplace,Søren Mendoza,46.0,Non-Binary,Australia,Books & Media,,45.02,6.8,43.7,6.273,Debit Card,Completed,0,3.0,500,6,0,1382.42,At Risk,2025-11-16,2025-12-06,20,JST,batch_C_windows1252,Currency conversion not yet standardized.
GM-01254,APP,CUST-000283,Paulo Lopez,paulo.lopez693@gmail.com,ORD-4NQYFEHJ,Mobile App,Paulo Lopez,23.0,Female,Australia,Fashion & Apparel,2.0,213.31,20.5,47.46,5.216308,Apple Pay,Completed,0,3.0,,25,0,907.67,Occasional,2025-12-28,2026-09-01,247,EST,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00713,Mobile App,CUST-000511,Lucas Nguyễn,lucas.nguyn66@gmail.com,ORD-7AU0QGQ5,Mobile App,Lucas Nguyễn,,Non-Binary,Singapore,Fashion & Apparel,1.0,324.21,0.05,18.49,0.721,Cash on Delivery,Completed,0,1.0,996,14,0,45.4,Occasional,2024-07-17,2024-07-26,9,Asia/Manila,batch_C_windows1252,"Merged from checkout, CRM, and support extracts."
GM-00050,APP,CUST-000344,Noah Mendoza,noah.mendoza840@example..com,ORD-LZH6A50N,Mobile App,Noah Mendoza,66.0,Non-Binary,France,Books & Media,1.0,55.52,9.3,22.46,4.805,GCash,Shipped,0,4.0,551,23,1,341.47,VIP,2025-06-17,2025-07-06,19,JST,api_stream_v2,Duplicate order records possible due to API retry.
GM-01680,APP,CUST-001209,Zoë Tan,zo.tan757@example..com,ORD-MUBYSQGO,Mobile App,Zoë Tan,49.0,Female,Japan,Home & Kitchen,2.0,31051.26,,5077.67,14149.0,Credit Card,Completed,0,1.0,579,18,20,797.1,,2024-07-11,2024-07-16,5,JST,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01843,Web ,CUST-000635,MÃ¼ller FranÃ§ois,mller.franois919@gmail.com,ORD-KM07FK6G,Web,Müller François,30.0,,Germany,Home & Kitchen,2.0,53.94,8.6,,12.23,GCash,Returned/Refunded,,5.0,342,10,1,302.98,VIP,2024-06-05,2024-06-22,17,GMT+1,legacy_excel_export,"Merged from checkout, CRM, and support extracts."
GM-01394,Web ,CUST-000232,Lucas Santos,lucas.santos348@gmail.com,ORD-GHZQZKLH,Web,Lucas Santos,73.0,Non-Binary,Germany,Home & Kitchen,3.0,219.51,25.0,24.33,7.416,Cash on Delivery,Completed,0,1.0,362,,0,665.92,Occasional,2026-02-13,2026-02-25,12,JST,legacy_excel_export,"Merged from checkout, CRM, and support extracts."
GM-00258,APP,CUST-000224,JÃ¼rgen FranÃ§ois,jrgen.franois285@hotmail.com,ORD-8UFQAU5S,Mobile App,Jürgen François,26.0,Male,Australia,Health & Beauty,2.0,36.44,1.8,0.79,0.38,Debit Card,Pending,,5.0,507,7,1,1374.4,New,2026-03-14,2026-03-22,8,UTC+8,api_stream_v2,Dates came from mixed regional settings.
GM-00790,call centre,CUST-000542,Björk O’Connor,bjrk.oconnor871@company.com,ORD-5PACKOO0,Call Center,Björk O'Connor,73.0,Female,Singapore,Fashion & Apparel,1.0,226.6,6.0,27.16,7.98,PayPal,Returned/Refunded,,2.0,0,12,9,,At Risk,2024-10-06,,,Asia/Manila,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00705,partner-api,CUST-000987,André Schneider,andr.schneider75@gmail.com,ORD-GFUNQLOV,Partner-API,André Schneider,,Male,Philippines,Home & Kitchen,2.0,131.33,39.4,30.86,7.323,Apple Pay,Completed,0,3.0,696,0,0,0.0,Loyal,,2024-02-29,,AEST,batch_C_windows1252,Dates came from mixed regional settings.
GM-01768,web,CUST-000440,Ava Núñez,ava.nez643@example..com,ORD-RETECCX7,Web,Ava Núñez,72.0,,Brazil,Sports & Fitness,1.0,158.53,23.0,103.35,4.765,Cash on Delivery,Completed,0,,384,15,1,,Occasional,2026-03-04,2026-03-26,22,JST,batch_C_windows1252,Dates came from mixed regional settings.
GM-01638,APP,CUST-000786,Liam Cruz,liam.cruz240@gmai.com,ORD-D8JK4F2K,Mobile App,Liam Cruz,49.0,Prefer not to say,Canada,Health & Beauty,1.0,,2.1,38.31,1.208,Unknown Card,Completed,0,1.0,892,10,0,361.54,Loyal,2025-10-18,2025-11-24,37,CET,api_stream_v2,Dates came from mixed regional settings.
GM-00377,WEB,CUST-000324,Ana Smith,ana.smith699@gmail.com,ORD-YD3UIFDL,Web,Ana Smith,67.0,Female,United States,Electronics,4.0,824.35,28.0,28.06,4.948,Credit Card,Completed,0,5.0,0,26,2,403.48,Loyal,2024-11-30,2024-12-14,14,Europe/Zurich,api_stream_v2,Some returns are recorded only in support tickets.
GM-00331,Partner API,CUST-000018,,jay.dubois660@gmail.com,ORD-KOVE5RZU,Partner-API,,51.0,,Brazil,Health & Beauty,3.0,192.68,45.0,53.05,3.471,Cash on Delivery,Completed,0,3.0,335,20,2,175.39,Loyal,,2024-10-15,,,api_stream_v2,Legacy export may contain mojibake in names/cities.
GM-01098,call centre,CUST-000500,Jose Garcia,jose.garcia731@company.com,ORD-PVP2Q7YY,Call Center,Jose Garcia,42.0,Female,,Home & Kitchen,1.0,10.26,5.2,0.7,13.748,Debit Card,Completed,0,4.0,453,4,0,1239.73,At Risk,2026-01-15,2026-02-07,23,CET,batch_A_utf8,
GM-00170,Store,CUST-000037,Nguyễn Miller,nguyn.miller580@outlook.com,ORD-LOAEBI8B,In-Store,Nguyễn Miller,24.0,Male,France,Books & Media,3.0,34.17,10.0,25.75,4.48,Apple Pay,Completed,0,,540,13,0,1203.85,Occasional,2025-01-15,2025-01-26,11,UTC+8,batch_C_windows1252,Currency conversion not yet standardized.
GM-01891,Partner API,,Jay Cruz,jay.cruz345@yahoo.com,ORD-PXVQ26FQ,Partner-API,Jay Cruz,,,Japan,Books & Media,1.0,3543.65,10.7,5227.74,1.623,Debit Card,Pending,0,1.0,431,300,1,882.07,New,2024-05-04,,,GMT+1,batch_B_latin1,
GM-01474,marketplace,CUST-001013,Đức Brown,c.brown956@example..com,ORD-2YGRAUG1,Marketplace,Đức Brown,74.0,,Philippines,Home & Kitchen,4.0,8583.04,23.0,900.45,7.478,GCash,Pending,0,3.0,101,0,2,26.99,At Risk,,2025-12-27,,GMT+1,batch_C_windows1252,Dates came from mixed regional settings.
GM-01258,Call Center,CUST-000809,Isabella Lee,isabella.lee122@hotmail.com,ORD-BVQ5RCS8,Call Center,Isabella Lee,50.0,,France,Books & Media,2.0,66.57,14.0,4.27,0.2041164,Debit Card,Pending,0,2.0,816,3,,956.42,New,2024-11-07,2024-12-13,36,,api_stream_v2,Currency conversion not yet standardized.
