record_id,source_system,customer_id,customer_name,customer_email,phone_raw,age_raw,gender_raw,signup_date_raw,order_id,order_date_raw,ship_date_raw,delivery_date_raw,customer_timezone,country_raw,city_raw,postal_code_raw,product_category_raw,product_name_raw,sku_raw,quantity_raw,unit_price_raw,currency_raw,discount_raw,shipping_cost_raw,item_weight_raw,payment_method_raw,order_status_raw,returned_flag_raw,return_reason_raw,satisfaction_score_raw,loyalty_points_raw,site_visits_last30_raw,support_tickets_90d_raw,distance_to_warehouse_km_raw,campaign_source_raw,customer_segment_raw,support_ticket_date_raw,complaint_text_raw,ingestion_batch,data_source_note
GM-00135,Mobile App,CUST-000429,MarÃ­a Santos,mara.santos385@company.com,+41 31 579 05 71,39,Non-binary,12/05/25,ORD-4OHL5THL,19/02/26,20260223,20260302,America/New_York,AUS,Melbourne,41835,Apparel,Leather Wallet,sku_126773,2,288.01,AUD,23.3%,7.00,unknown,debit-card,DELIVERED,No,,excellent,698,500,0,1263.0,Email Campaign,occasional,08-Apr-2026 00:00,El producto llegÃ³ tarde.,batch_B_latin1,"Merged from checkout, CRM, and support extracts."
GM-00347,WEB,CUST-001323,Mateo NÃºÃ±ez,mateo.nez140@example..com,+41 14 190 82 74,38,unknown,20220208,ORD-9APGI32O,08/15/2025,08/22/2025,2025-09-04,UTC+8,Deutschland,Munich,9176,FASHN,Sunglasses,FA 322,1,"376,20",SGD,17.0%,9.45,1.923,card,delivrd,No,-,1,450,na,3,1502.33,Google Ads,Dormant,29 Sep 2025,Missing manual in box.,batch_B_latin1,Currency conversion not yet standardized.
GM-01214,Web ,CUST-000818,Maria Davis,maria.davis@companycom,+41 16 396 43 87,20,male,2022-05-09,ORD-AH4THJF1,25-06-2025,2025-06-26 00:00,None,UTC+8,?,Singapore,5656,Electronic,USB-C HUB,?,2,872.60,SGD,none,S$0.23,5.78 kg,Debit Card,Completed,No,,na,976,10,3,8.7,Influencer,premium,"Sep 10, 2025",Produit arrivé cassé.,api_stream_v2,Currency conversion not yet standardized.
GM-00794,in-store,CUST-000179,Chloé Kim,chlo.kim@companycom,+63 938 520 4772,67,NB,2022/11/23,ORD-GKXXNTI5,2026-03-01,08 Mar 2026,03/05/2026 12:00 AM,PST,FR,Nice,N/A,Electronics ,USB-C HUB,sku_105326,3,455.64,EUR,110%,2.28 ,6.722,Pay Pal,shipping,No,,2,331,19,1,1288.92,FB,Regular,20260422,Produit arrivé cassé.,batch_B_latin1,Dates came from mixed regional settings.
GM-00338,Market Place,CUST-000281,Sofia García,sofia.garca421@gmail.com,?,29,M,2021-04-17,ORD-7JJHNBT3,2025/05/19,20-May-2025 00:00,-,unknown,France,Toulouse,J9M 6K9,Home/Kitchen,MEMORY FOAM PILLOW,sku_647954,1,77.23,EUR,13.5%,€10.99,0.562,paypal,shipped,No,,4,527,11,1,1215.43,Google Ads,NEW,2025-08-03,Received wrong color.,batch_B_latin1,na
GM-00574,mobile,None,Juan Brown,juan.brown460@company.com,+81-51-4646-0625,150,Male,20220815,ORD-Y0MPOGKT,45486,17-Jul-2024 00:00,N/A,PST,Singapore,S'pore,N/A,Health & Beauty,Aloe Moisturizer,,1,40.77,SGD,5.7%,S$33.31,5.94 kg,Cash on Delivery,shipped,No,,3,429,10,0,43.63,google,churn risk,2024-09-01 00:00,None,legacy_excel_export,Duplicate order records possible due to API retry.
GM-00553,mobile,None,Aiko Müller,aiko.mller460@company.com,+1 (4) 865-4722,32,unknown,"Apr 15, 2024",ORD-TB7RSFAJ,04/03/2025,"Apr 11, 2025",04/16/2025 12:00 AM,PST,Japan,Kyoto,1937,fashion,Running Shoes,,1,12202.38,JPY,17.1%,2196.54,4.716,Bank Transfer,pending,No,,bad,411,6,0,,Facebook,?,30/05/25,No complaint.,batch_A_utf8,Duplicate order records possible due to API retry.
GM-01241,Call Center,CUST-000286,SITI DUBOIS,siti.dubois675@example..com,+81-98-2601-4896,N/A,Non-binary,10/06/2023,ORD-YG1P0PYO,20241121,11/30/2024,NULL,AEST,Australia,Brisbane,98508,READING,History of Cities,sku_121909,3 pcs,AUD 103.37,AUD,31.1%,"4,85",6.711,?,shipping,No,,bad,383,9,NULL,86.99,AFF,OCC,NULL,The size chart didnâ€™t match.,batch_A_utf8,Dates came from mixed regional settings.
GM-01654,call centre,CUST-001261,Zoë Wong,zo.wong229@hotmail.com,+1 (2) 733-5837,-1,NB,06/12/22,ORD-FAF85QVX,04/26/2025 12:00 AM,27/04/25,03 May 2025,PHT,CA,Calgary,N/A,Elec.,Wireless Mouse,SKU-ELE-5642,1,853.34,CAD,41%,22.02,6.57 lbs,wire,payment failed,No,,4,919,21,0,423.08,,N,"Jun 13, 2025",Payment failed twice but card was charged.,legacy_excel_export,Legacy export may contain mojibake in names/cities.
GM-01653,mobile,CUST-001310,Yuki Mendoza,yuki.mendoza958@gmail.com,?,37,unknown,08/27/2022,ORD-5QPHMJBN,28-Aug-2025 00:00,30-08-2025,NA,JST,Australia,Brisbane,19009,Fashion,Linen Dress,sku_135936,2,189.21,AUD,0.09,25.95,3.402,paypal,DELIVERED,No,,5,801,5,0,458.77,affiliate,vip,19-Oct-2025 00:00,unknown,batch_B_latin1,Currency conversion not yet standardized.
